"Sheet","TaskNum","Task","Responsible","Deliverable"
"1. Discovery","1","Define hypothesis-driven increments","Product Owner","Hypothesis Document"
"1. Discovery","2","Build prototypes/MVPs","Development Team","MVP/Prototype"
"1. Discovery","3","Measure user behavior and feedback","Product Manager","Metrics Dashboard"
"1. Discovery","4","Learn and validate insights","Product Owner","Learning Report"
"1. Discovery","5","Decide: Persevere or Pivot","Leadership","Decision Document"
"1. Discovery","6","Define business-level strategic goal","Executive Leadership","Strategic Goal Doc"
"1. Discovery","7","Establish product vision","Product Owner","Vision Statement"
"1. Discovery","8","Align vision with business strategy","Leadership Team","Alignment Document"
"1. Discovery","9","Classify epics (Functional/Non-Functional)","Product Owner","Epic Classification"
"1. Discovery","10","Write epic summary and description","Product Owner","Epic Documents"
"1. Discovery","11","Define business outcomes","Product Owner","Outcomes Document"
"1. Discovery","12","Establish acceptance criteria","Product Owner","Acceptance Criteria"
"1. Discovery","13","Identify leading indicators","Product Manager","KPI/Metrics List"
"1. Discovery","14","Document non-functional requirements","Solution Architect","NFR Document"
"1. Discovery","15","Conduct Gemba/Interviews","UX Researcher","Interview Notes"
"1. Discovery","16","Create user personas","UX Designer","Persona Documents"
"1. Discovery","17","Build empathy maps","UX Team","Empathy Maps"
"1. Discovery","18","Map customer journey","UX Designer","Journey Maps"
"1. Discovery","19","Define features","Product Owner","Feature List"
"1. Discovery","20","Design architecture","Solution Architect","Architecture Doc"
"1. Discovery","21","Document customer problem","Product Manager","Problem Statement"
"1. Discovery","22","Define business impact","Product Owner","Impact Analysis"
"1. Discovery","23","Configure portfolio Kanban board","Agile Coach","Kanban Board"
"1. Discovery","24","Define work item types","Agile Coach","Work Item Definitions"
"1. Discovery","25","Establish WIP limits","Agile Coach","WIP Policies"
"1. Discovery","26","Align features across timeline","Product Manager","Timeline View"
"1. Discovery","27","Calculate WSJF prioritization","Product Owner","WSJF Scores"
"1. Discovery","28","Assess business value","Product Owner","Value Assessment"
